ID,Statistical Division or Subdivision,LGA,Offence category,Subcategory,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
78,Inner Sydney,Leichhardt,Other offences against the person,,4,10,7,7,7,6,11,9,7,10,10
79,Inner Sydney,Leichhardt,Theft,Break and enter dwelling,994,762,624,518,407,414,354,264,276,224,223
80,Inner Sydney,Leichhardt,Theft,Break and enter non-dwelling,311,244,258,250,183,143,140,105,80,76,92
81,Inner Sydney,Leichhardt,Theft,Receiving or handling stolen goods,55,65,66,60,49,24,30,32,34,31,31
82,Inner Sydney,Leichhardt,Theft,Motor vehicle theft,616,491,558,347,360,334,235,238,204,231,149
83,Inner Sydney,Leichhardt,Theft,Steal from motor vehicle,955,837,1099,625,864,847,660,600,510,354,406
84,Inner Sydney,Leichhardt,Theft,Steal from retail store,97,138,107,72,107,121,112,136,121,134,100
85,Inner Sydney,Leichhardt,Theft,Steal from dwelling,293,197,235,190,182,187,166,134,160,141,186
86,Inner Sydney,Leichhardt,Theft,Steal from person,165,166,116,102,91,90,73,69,50,33,36
87,Inner Sydney,Leichhardt,Theft,Stock theft,0,0,1,1,0,0,0,0,1,0,0
88,Inner Sydney,Leichhardt,Theft,Fraud,322,279,299,399,268,299,289,335,332,295,359
89,Inner Sydney,Leichhardt,Theft,Other theft,428,431,363,282,291,255,237,255,259,240,230
90,Inner Sydney,Leichhardt,Arson,,15,20,19,23,17,20,14,10,21,22,17
91,Inner Sydney,Leichhardt,Malicious damage to property,,683,711,756,753,848,719,766,676,660,553,555
92,Inner Sydney,Leichhardt,Drug offences,Possession and/or use of cocaine,2,2,0,2,1,1,3,10,10,4,6
93,Inner Sydney,Leichhardt,Drug offences,Possession and/or use of narcotics,3,3,7,7,2,0,2,2,5,3,6
94,Inner Sydney,Leichhardt,Drug offences,Possession and/or use of cannabis,24,35,53,55,54,22,38,42,63,80,89
95,Inner Sydney,Leichhardt,Drug offences,Possession and/or use of amphetamines,6,5,5,10,10,5,5,6,2,9,17
96,Inner Sydney,Leichhardt,Drug offences,Possession and/or use of ecstasy,2,3,1,3,5,0,3,4,14,6,9
97,Inner Sydney,Leichhardt,Drug offences,Possession and/or use of other drugs,2,3,3,4,4,3,4,6,7,17,11
98,Inner Sydney,Leichhardt,Drug offences,"Dealing, trafficking in cocaine",0,0,0,1,1,1,4,2,2,0,1
99,Inner Sydney,Leichhardt,Drug offences,"Dealing, trafficking in narcotics",0,3,6,7,0,0,7,1,1,0,1
100,Inner Sydney,Leichhardt,Drug offences,"Dealing, trafficking in cannabis",1,1,2,0,3,1,2,3,2,1,2
101,Inner Sydney,Leichhardt,Drug offences,"Dealing, trafficking in amphetamines",0,5,3,5,4,2,7,2,1,2,3
102,Inner Sydney,Leichhardt,Drug offences,"Dealing, trafficking in ecstasy",0,4,1,2,2,1,1,2,4,2,0
103,Inner Sydney,Leichhardt,Drug offences,"Dealing, trafficking in other drugs",0,0,0,1,0,0,1,0,1,0,0
104,Inner Sydney,Leichhardt,Drug offences,Cultivating cannabis,1,3,3,1,1,1,1,0,1,0,1
105,Inner Sydney,Leichhardt,Drug offences,Manufacture drug,0,1,0,0,0,1,0,1,0,1,1
106,Inner Sydney,Leichhardt,Drug offences,Importing drugs,0,0,0,0,0,0,0,0,0,0,0
107,Inner Sydney,Leichhardt,Drug offences,Other drug offences,12,10,15,13,16,11,15,16,14,14,22
108,Inner Sydney,Leichhardt,Prohibited and regulated weapons offences,,27,32,35,41,36,30,23,33,26,23,40
109,Inner Sydney,Leichhardt,Disorderly conduct,Trespass,31,22,45,45,50,57,42,64,63,47,41
110,Inner Sydney,Leichhardt,Disorderly conduct,Offensive conduct,5,10,8,21,17,32,27,38,50,37,56
111,Inner Sydney,Leichhardt,Disorderly conduct,Offensive language,17,15,21,12,26,30,19,32,25,37,31
112,Inner Sydney,Leichhardt,Disorderly conduct,Criminal intent,16,14,16,14,18,18,14,17,20,19,14
113,Inner Sydney,Leichhardt,Betting and gaming offences,,0,0,0,0,4,5,26,3,0,1,0
114,Inner Sydney,Leichhardt,Liquor offences,,22,34,27,32,18,24,71,76,79,115,78
115,Inner Sydney,Leichhardt,Pornography offences,,0,0,3,1,0,0,2,1,1,1,0
116,Inner Sydney,Leichhardt,Prostitution offences,,0,1,1,0,0,0,0,1,0,0,0
117,Inner Sydney,Leichhardt,Against justice procedures,Escape custody,0,0,0,2,2,0,0,0,0,2,1
118,Inner Sydney,Leichhardt,Against justice procedures,Breach Apprehended Violence Order,98,59,51,52,58,56,81,73,94,81,91
119,Inner Sydney,Leichhardt,Against justice procedures,Breach bail conditions,9,15,36,31,47,69,138,135,156,152,108
120,Inner Sydney,Leichhardt,Against justice procedures,Fail to appear,5,3,2,2,3,1,2,6,6,11,1
121,Inner Sydney,Leichhardt,Against justice procedures,Resist or hinder officer,23,22,16,21,35,41,28,30,34,30,29
122,Inner Sydney,Leichhardt,Against justice procedures,Other offences against justice procedures,3,3,0,0,3,2,1,0,2,0,1
123,Inner Sydney,Leichhardt,Transport regulatory offences,,7,4,3,2,5,21,12,11,13,12,21
124,Inner Sydney,Leichhardt,Other offences,,90,93,107,109,102,74,96,108,118,151,141
125,Inner Sydney,Marrickville,Homicide,Murder (a),0,2,2,0,1,2,3,0,2,1,1
126,Inner Sydney,Marrickville,Homicide,Attempted murder,1,2,2,0,2,0,0,0,0,0,0
127,Inner Sydney,Marrickville,Homicide,"Murder accessory, conspiracy",1,0,0,0,0,0,0,0,0,0,0
128,Inner Sydney,Marrickville,Homicide,Manslaughter (a),0,0,0,0,1,0,0,0,0,0,0
129,Inner Sydney,Marrickville,Assault,Domestic violence related assault,298,360,367,333,385,353,283,222,276,294,308
130,Inner Sydney,Marrickville,Assault,Non-domestic violence related assault,495,532,501,475,473,439,397,366,397,389,326
131,Inner Sydney,Marrickville,Assault,Assault Police,24,18,17,24,21,33,31,31,27,37,23
132,Inner Sydney,Marrickville,Sexual offences,Sexual assault,43,40,36,27,22,29,27,34,38,31,32
133,Inner Sydney,Marrickville,Sexual offences,"Indecent assault, act of indecency and other sexual offences",53,67,76,90,81,69,52,61,58,59,58
134,Inner Sydney,Marrickville,Abduction and kidnapping,,8,3,8,3,5,4,3,4,2,6,0
135,Inner Sydney,Marrickville,Robbery,Robbery without a weapon,147,176,110,170,136,91,120,68,70,54,71
136,Inner Sydney,Marrickville,Robbery,Robbery with a firearm,17,25,32,10,20,16,14,18,25,10,7
137,Inner Sydney,Marrickville,Robbery,Robbery with a weapon not a firearm,79,80,68,75,73,76,45,46,31,28,23
138,Inner Sydney,Marrickville,Blackmail and extortion,,0,2,1,4,1,0,9,2,0,1,3
139,Inner Sydney,Marrickville,"Harassment, threatening behaviour and private nuisance",,220,225,235,300,295,285,185,179,195,188,185
140,Inner Sydney,Marrickville,Other offences against the person,,14,12,17,28,30,12,10,17,12,12,4
141,Inner Sydney,Marrickville,Theft,Break and enter dwelling,975,1204,781,774,777,894,576,467,513,363,388
142,Inner Sydney,Marrickville,Theft,Break and enter non-dwelling,540,402,385,317,277,192,217,178,122,111,97
143,Inner Sydney,Marrickville,Theft,Receiving or handling stolen goods,223,248,129,101,102,125,99,69,98,101,90
144,Inner Sydney,Marrickville,Theft,Motor vehicle theft,839,801,645,633,555,521,378,378,325,373,291
145,Inner Sydney,Marrickville,Theft,Steal from motor vehicle,1224,1174,916,830,1178,1528,1258,886,852,642,558
146,Inner Sydney,Marrickville,Theft,Steal from retail store,214,232,182,215,199,204,237,204,198,169,183
147,Inner Sydney,Marrickville,Theft,Steal from dwelling,343,433,306,365,318,313,216,207,310,220,284
148,Inner Sydney,Marrickville,Theft,Steal from person,244,244,140,127,120,114,128,105,131,128,114
149,Inner Sydney,Marrickville,Theft,Stock theft,0,2,1,2,1,0,0,1,0,0,0
150,Inner Sydney,Marrickville,Theft,Fraud,456,474,535,575,598,533,542,532,497,542,757
151,Inner Sydney,Marrickville,Theft,Other theft,552,496,460,460,474,426,357,378,425,380,357
152,Inner Sydney,Marrickville,Arson,,79,59,64,56,67,58,31,38,28,32,17
153,Inner Sydney,Marrickville,Malicious damage to property,,873,984,972,980,1283,1300,1185,1137,990,965,850
154,Inner Sydney,Marrickville,Drug offences,Possession and/or use of cocaine,1,4,1,4,6,8,3,10,16,12,10
155,Inner Sydney,Marrickville,Drug offences,Possession and/or use of narcotics,29,32,16,20,13,18,21,20,32,23,39
156,Inner Sydney,Marrickville,Drug offences,Possession and/or use of cannabis,126,139,217,137,165,141,200,254,402,305,310
157,Inner Sydney,Marrickville,Drug offences,Possession and/or use of amphetamines,9,12,23,27,19,40,34,36,41,43,54
158,Inner Sydney,Marrickville,Drug offences,Possession and/or use of ecstasy,9,6,7,8,5,11,22,14,14,5,17
159,Inner Sydney,Marrickville,Drug offences,Possession and/or use of other drugs,6,9,13,26,15,20,27,44,48,46,66
160,Inner Sydney,Marrickville,Drug offences,"Dealing, trafficking in cocaine",3,1,1,5,1,0,0,9,5,5,0
161,Inner Sydney,Marrickville,Drug offences,"Dealing, trafficking in narcotics",15,16,11,24,4,3,3,4,7,1,8
162,Inner Sydney,Marrickville,Drug offences,"Dealing, trafficking in cannabis",5,5,4,6,8,6,5,3,16,9,4
163,Inner Sydney,Marrickville,Drug offences,"Dealing, trafficking in amphetamines",5,3,6,3,7,7,4,3,33,5,5
164,Inner Sydney,Marrickville,Drug offences,"Dealing, trafficking in ecstasy",6,2,1,4,2,4,5,4,2,2,1
165,Inner Sydney,Marrickville,Drug offences,"Dealing, trafficking in other drugs",1,1,0,0,3,1,0,4,2,0,2
166,Inner Sydney,Marrickville,Drug offences,Cultivating cannabis,8,8,10,15,4,5,4,2,8,8,2
167,Inner Sydney,Marrickville,Drug offences,Manufacture drug,1,0,0,0,0,2,0,0,3,1,2
168,Inner Sydney,Marrickville,Drug offences,Importing drugs,0,0,0,1,0,0,0,1,0,0,0
169,Inner Sydney,Marrickville,Drug offences,Other drug offences,23,71,33,25,24,33,37,74,48,65,66
170,Inner Sydney,Marrickville,Prohibited and regulated weapons offences,,107,134,103,108,122,105,122,85,82,85,88
171,Inner Sydney,Marrickville,Disorderly conduct,Trespass,70,75,62,117,92,119,109,89,104,82,55
172,Inner Sydney,Marrickville,Disorderly conduct,Offensive conduct,13,20,21,21,33,25,29,43,51,60,35
173,Inner Sydney,Marrickville,Disorderly conduct,Offensive language,25,22,15,27,23,29,39,28,52,46,23
174,Inner Sydney,Marrickville,Disorderly conduct,Criminal intent,51,50,39,36,37,34,28,13,21,39,34
175,Inner Sydney,Marrickville,Betting and gaming offences,,0,0,9,2,4,2,11,0,0,1,1
176,Inner Sydney,Marrickville,Liquor offences,,51,46,97,177,80,115,85,112,80,87,164
177,Inner Sydney,Marrickville,Pornography offences,,1,1,1,2,0,0,1,2,2,1,7
178,Inner Sydney,Marrickville,Prostitution offences,,2,0,0,0,0,0,0,0,2,0,0
179,Inner Sydney,Marrickville,Against justice procedures,Escape custody,1,3,2,2,2,2,0,4,1,3,0
180,Inner Sydney,Marrickville,Against justice procedures,Breach Apprehended Violence Order,106,116,139,126,115,114,111,89,165,146,110
181,Inner Sydney,Marrickville,Against justice procedures,Breach bail conditions,108,203,262,283,445,591,533,542,897,1191,622
182,Inner Sydney,Marrickville,Against justice procedures,Fail to appear,33,13,8,6,23,10,5,18,21,27,7
183,Inner Sydney,Marrickville,Against justice procedures,Resist or hinder officer,56,42,42,37,48,41,78,48,69,67,44
184,Inner Sydney,Marrickville,Against justice procedures,Other offences against justice procedures,27,17,2,8,10,4,4,2,4,2,0
185,Inner Sydney,Marrickville,Transport regulatory offences,,721,1093,820,455,432,561,765,699,1133,1122,1290
186,Inner Sydney,Marrickville,Other offences,,161,245,161,220,141,128,136,81,132,93,92
187,Inner Sydney,Sydney,Homicide,Murder (a),5,9,6,6,5,3,4,4,6,5,4
188,Inner Sydney,Sydney,Homicide,Attempted murder,7,5,4,3,4,3,3,3,1,1,1
189,Inner Sydney,Sydney,Homicide,"Murder accessory, conspiracy",2,0,0,0,1,1,0,0,0,0,0
190,Inner Sydney,Sydney,Homicide,Manslaughter (a),3,3,3,1,1,0,1,3,3,2,4
191,Inner Sydney,Sydney,Assault,Domestic violence related assault,699,724,767,716,841,857,872,897,908,880,884
192,Inner Sydney,Sydney,Assault,Non-domestic violence related assault,4342,4063,4003,4111,4005,4247,4320,3891,4030,3794,3733
193,Inner Sydney,Sydney,Assault,Assault Police,269,279,297,350,273,311,327,278,296,301,272
194,Inner Sydney,Sydney,Sexual offences,Sexual assault,199,164,204,157,174,175,170,215,194,190,195
195,Inner Sydney,Sydney,Sexual offences,"Indecent assault, act of indecency and other sexual offences",227,217,287,245,230,299,262,255,333,285,299
196,Inner Sydney,Sydney,Abduction and kidnapping,,48,26,25,38,26,14,20,13,15,12,20
197,Inner Sydney,Sydney,Robbery,Robbery without a weapon,1450,1391,1111,1319,1026,1025,937,737,547,487,473
198,Inner Sydney,Sydney,Robbery,Robbery with a firearm,89,97,64,57,75,64,43,45,30,23,19
199,Inner Sydney,Sydney,Robbery,Robbery with a weapon not a firearm,614,518,502,461,453,432,260,216,172,165,166
200,Inner Sydney,Sydney,Blackmail and extortion,,11,3,8,6,7,8,9,19,16,17,7
201,Inner Sydney,Sydney,"Harassment, threatening behaviour and private nuisance",,791,853,929,971,1053,985,982,1021,1124,991,1011
202,Inner Sydney,Sydney,Other offences against the person,,75,71,99,100,96,97,52,72,60,55,60
203,Inner Sydney,Sydney,Theft,Break and enter dwelling,2993,2620,2286,2445,1723,2000,1550,1594,1286,1225,1264
204,Inner Sydney,Sydney,Theft,Break and enter non-dwelling,3029,2505,2191,2081,1750,1629,1333,1015,928,813,824
205,Inner Sydney,Sydney,Theft,Receiving or handling stolen goods,1588,1353,1223,1029,856,987,1037,831,820,958,1015
206,Inner Sydney,Sydney,Theft,Motor vehicle theft,2329,1797,1794,1243,1378,1366,1048,760,679,707,552
207,Inner Sydney,Sydney,Theft,Steal from motor vehicle,9919,8957,6962,5593,7133,8169,5861,4348,2774,2728,2241
208,Inner Sydney,Sydney,Theft,Steal from retail store,1901,1723,1571,1722,1602,1773,1885,1912,1965,2288,2452
209,Inner Sydney,Sydney,Theft,Steal from dwelling,1226,1148,1117,1155,1031,949,932,921,1058,941,1139
210,Inner Sydney,Sydney,Theft,Steal from person,7310,6720,4910,4480,4514,4389,3591,3618,3105,2898,2747
211,Inner Sydney,Sydney,Theft,Stock theft,3,4,3,2,2,2,0,5,1,1,3
212,Inner Sydney,Sydney,Theft,Fraud,4456,4115,4308,4625,4075,3888,4557,4325,4688,4270,5541
213,Inner Sydney,Sydney,Theft,Other theft,10652,9386,8222,7431,6495,6184,5807,4910,4924,5137,5408
214,Inner Sydney,Sydney,Arson,,90,82,114,122,112,85,83,75,64,56,58
215,Inner Sydney,Sydney,Malicious damage to property,,4104,3845,3985,4096,4297,4462,4411,3789,3578,3659,3398
216,Inner Sydney,Sydney,Drug offences,Possession and/or use of cocaine,91,36,80,103,92,106,189,290,350,302,386
217,Inner Sydney,Sydney,Drug offences,Possession and/or use of narcotics,151,160,210,203,136,186,198,292,292,236,272
218,Inner Sydney,Sydney,Drug offences,Possession and/or use of cannabis,1234,1046,1429,1263,1099,1194,1934,1961,2700,2796,2682
219,Inner Sydney,Sydney,Drug offences,Possession and/or use of amphetamines,197,219,275,282,299,336,442,359,548,768,863
220,Inner Sydney,Sydney,Drug offences,Possession and/or use of ecstasy,124,108,146,224,177,211,540,731,901,652,1003
221,Inner Sydney,Sydney,Drug offences,Possession and/or use of other drugs,87,124,169,226,193,271,420,513,844,884,911
222,Inner Sydney,Sydney,Drug offences,"Dealing, trafficking in cocaine",60,11,49,46,67,43,43,63,42,39,78
223,Inner Sydney,Sydney,Drug offences,"Dealing, trafficking in narcotics",78,102,162,93,19,32,114,123,145,85,91
224,Inner Sydney,Sydney,Drug offences,"Dealing, trafficking in cannabis",117,91,86,70,44,45,58,51,56,68,39
225,Inner Sydney,Sydney,Drug offences,"Dealing, trafficking in amphetamines",67,62,63,59,115,81,97,71,86,136,138
226,Inner Sydney,Sydney,Drug offences,"Dealing, trafficking in ecstasy",85,82,73,94,82,68,125,133,93,78,112
227,Inner Sydney,Sydney,Drug offences,"Dealing, trafficking in other drugs",11,16,20,25,18,22,27,54,70,116,74
228,Inner Sydney,Sydney,Drug offences,Cultivating cannabis,8,11,13,6,8,7,5,2,6,3,4
229,Inner Sydney,Sydney,Drug offences,Manufacture drug,5,1,2,3,3,4,4,2,3,4,1
230,Inner Sydney,Sydney,Drug offences,Importing drugs,6,2,2,1,3,3,4,5,6,4,5
231,Inner Sydney,Sydney,Drug offences,Other drug offences,327,292,399,374,347,432,561,581,518,533,723
232,Inner Sydney,Sydney,Prohibited and regulated weapons offences,,832,599,608,770,624,631,694,554,522,567,528
233,Inner Sydney,Sydney,Disorderly conduct,Trespass,363,343,364,450,404,406,420,419,414,453,570
234,Inner Sydney,Sydney,Disorderly conduct,Offensive conduct,363,370,408,575,529,788,1300,1641,1989,1881,1703
235,Inner Sydney,Sydney,Disorderly conduct,Offensive language,344,326,365,520,360,401,541,592,545,455,429
236,Inner Sydney,Sydney,Disorderly conduct,Criminal intent,340,227,254,243,212,228,184,117,166,165,190
237,Inner Sydney,Sydney,Betting and gaming offences,,5,9,35,38,94,27,78,43,83,24,24
238,Inner Sydney,Sydney,Liquor offences,,1346,1472,2030,1453,1565,2188,2769,3485,3756,3415,3335
239,Inner Sydney,Sydney,Pornography offences,,3,6,16,7,7,17,6,18,16,13,18
240,Inner Sydney,Sydney,Prostitution offences,,148,90,46,56,78,88,45,28,165,91,18
241,Inner Sydney,Sydney,Against justice procedures,Escape custody,35,22,14,29,25,24,21,16,13,22,13
242,Inner Sydney,Sydney,Against justice procedures,Breach Apprehended Violence Order,338,336,449,307,320,315,354,323,389,408,406
243,Inner Sydney,Sydney,Against justice procedures,Breach bail conditions,665,757,1033,1101,1554,2153,2600,2448,2328,2668,2410
244,Inner Sydney,Sydney,Against justice procedures,Fail to appear,231,137,61,52,89,77,121,151,289,147,92
245,Inner Sydney,Sydney,Against justice procedures,Resist or hinder officer,560,491,534,672,619,725,825,774,758,719,709
246,Inner Sydney,Sydney,Against justice procedures,Other offences against justice procedures,255,141,93,83,75,62,73,116,60,70,51
247,Inner Sydney,Sydney,Transport regulatory offences,,1785,4493,4241,1927,2158,2252,2926,3078,3031,2480,3244
248,Inner Sydney,Sydney,Other offences,,1519,1704,1650,1405,1280,1220,1513,1325,1347,1206,1373
249,Eastern Suburbs,Randwick,Homicide,Murder (a),4,3,2,3,1,1,1,2,1,1,0
250,Eastern Suburbs,Randwick,Homicide,Attempted murder,2,0,0,0,0,0,0,0,0,1,1
251,Eastern Suburbs,Randwick,Homicide,"Murder accessory, conspiracy",0,0,0,0,0,0,0,0,1,0,0
252,Eastern Suburbs,Randwick,Homicide,Manslaughter (a),0,0,0,1,0,0,0,2,0,0,0
253,Eastern Suburbs,Randwick,Assault,Domestic violence related assault,335,316,301,301,335,407,421,318,312,345,374
254,Eastern Suburbs,Randwick,Assault,Non-domestic violence related assault,682,734,663,711,690,747,727,617,569,560,486
255,Eastern Suburbs,Randwick,Assault,Assault Police,36,39,48,62,47,36,42,68,38,70,51
256,Eastern Suburbs,Randwick,Sexual offences,Sexual assault,41,41,46,33,39,36,32,47,50,48,52
